date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,0.031,0.088,0.006,0.007,0.017,0.077
2017-01-02,0.038,0.231,0.009,0.010,0.019,0.023
2017-01-03,0.018,0.033,0.008,0.012,0.017,0.032
2017-01-04,0.020,0.055,0.005,0.005,0.010,0.055
2017-01-05,0.034,0.245,0.006,0.006,0.018,0.245
2017-01-06,0.050,0.211,0.004,0.004,0.134,0.038
2017-01-07,0.017,0.042,0.004,0.004,0.019,0.023
2017-01-08,0.021,0.052,0.007,0.025,0.008,0.032
2017-01-09,0.017,0.041,0.005,0.005,0.011,0.041
2017-01-10,0.021,0.067,0.008,0.010,0.010,0.040
2017-01-11,0.027,0.085,0.006,0.006,0.083,0.034
2017-01-12,0.024,0.050,0.010,0.013,0.023,0.031
2017-01-13,0.022,0.062,0.010,0.011,0.028,0.029
2017-01-14,0.024,0.086,0.006,0.006,0.016,0.023
2017-01-15,0.020,0.037,0.007,0.007,0.030,0.032
2017-01-16,0.022,0.051,0.005,0.005,0.020,0.020
2017-01-17,0.034,0.141,0.007,0.014,0.141,0.025
2017-01-18,0.027,0.039,0.009,0.021,0.035,0.033
2017-01-19,0.027,0.070,0.013,0.022,0.015,0.023
2017-01-20,0.048,0.228,0.009,0.018,0.012,0.022
2017-01-21,0.034,0.081,0.007,0.040,0.015,0.048
2017-01-22,0.034,0.079,0.009,0.071,0.017,0.027
2017-01-23,0.024,0.057,0.011,0.057,0.014,0.025
2017-01-24,0.023,0.050,0.009,0.015,0.017,0.050
2017-01-25,0.027,0.113,0.008,0.011,0.015,0.113
2017-01-26,0.025,0.077,0.009,0.009,0.016,0.048
2017-01-27,0.040,0.112,0.009,0.020,0.015,0.112
2017-01-28,0.044,0.100,0.000,0.055,0.021,0.100
2017-01-29,0.036,0.103,0.011,0.103,0.026,0.062
2017-01-30,0.028,0.075,0.000,0.039,0.029,0.054
2017-01-31,0.034,0.109,0.000,0.032,0.020,0.061
2017-02-01,0.032,0.079,0.000,0.036,0.066,0.049
2017-02-02,0.030,0.074,0.000,0.010,0.039,0.047
2017-02-03,0.034,0.111,0.007,0.007,0.020,0.050
2017-02-04,0.036,0.128,0.000,0.044,0.018,0.051
2017-02-05,0.045,0.142,0.000,0.007,0.017,0.077
2017-02-06,0.035,0.094,0.000,0.007,0.076,0.094
2017-02-07,0.029,0.064,0.000,0.006,0.064,0.055
2017-02-08,0.041,0.104,0.008,0.011,0.056,0.060
2017-02-09,0.038,0.077,0.008,0.008,0.021,0.062
2017-02-10,0.027,0.076,0.000,0.006,0.034,0.076
2017-02-11,0.029,0.073,0.000,0.006,0.023,0.063
2017-02-12,0.022,0.060,0.000,0.006,0.020,0.060
2017-02-13,0.031,0.121,0.000,0.010,0.023,0.059
2017-02-14,0.029,0.060,0.000,0.017,0.021,0.058
2017-02-15,0.031,0.067,0.000,0.031,0.025,0.056
2017-02-16,0.043,0.099,0.011,0.098,0.030,0.055
2017-02-17,0.029,0.055,0.000,0.030,0.024,0.055
2017-02-18,0.046,0.243,0.000,0.018,0.036,0.051
2017-02-19,0.035,0.101,0.000,0.101,0.051,0.053
