date,average,maximum,minimum,ref2010,ref2015,current
2017-01-01,0.007,0.019,0.002,0.005,0.005,0.002
2017-01-02,0.007,0.019,0.002,0.005,0.005,0.002
2017-01-03,0.007,0.019,0.002,0.005,0.005,0.002
2017-01-04,0.007,0.018,0.002,0.005,0.005,0.002
2017-01-05,0.007,0.018,0.002,0.005,0.005,0.002
2017-01-06,0.007,0.018,0.002,0.005,0.005,0.002
2017-01-07,0.007,0.018,0.002,0.005,0.005,0.002
2017-01-08,0.007,0.018,0.002,0.005,0.005,0.002
2017-01-09,0.008,0.018,0.002,0.013,0.005,0.002
2017-01-10,0.007,0.017,0.002,0.012,0.005,0.002
2017-01-11,0.007,0.017,0.002,0.005,0.005,0.002
2017-01-12,0.007,0.017,0.002,0.005,0.005,0.002
2017-01-13,0.007,0.017,0.002,0.008,0.004,0.002
2017-01-14,0.007,0.017,0.002,0.005,0.004,0.002
2017-01-15,0.007,0.017,0.002,0.005,0.004,0.002
2017-01-16,0.007,0.016,0.002,0.005,0.004,0.002
2017-01-17,0.007,0.016,0.002,0.005,0.005,0.002
2017-01-18,0.006,0.016,0.002,0.005,0.005,0.002
2017-01-19,0.006,0.016,0.002,0.005,0.005,0.002
2017-01-20,0.006,0.016,0.002,0.005,0.004,0.002
2017-01-21,0.006,0.016,0.002,0.005,0.004,0.002
2017-01-22,0.006,0.016,0.002,0.005,0.004,0.002
2017-01-23,0.006,0.015,0.002,0.005,0.004,0.002
2017-01-24,0.006,0.015,0.002,0.005,0.004,0.002
2017-01-25,0.006,0.015,0.002,0.005,0.004,0.002
2017-01-26,0.006,0.015,0.002,0.005,0.004,0.002
2017-01-27,0.006,0.015,0.002,0.005,0.004,0.002
2017-01-28,0.006,0.015,0.002,0.004,0.004,0.002
2017-01-29,0.005,0.015,0.000,0.004,0.004,0.002
2017-01-30,0.006,0.015,0.002,0.004,0.004,0.002
2017-01-31,0.006,0.014,0.002,0.004,0.004,0.002
2017-02-01,0.006,0.014,0.002,0.004,0.004,0.002
2017-02-02,0.006,0.014,0.002,0.004,0.004,0.002
2017-02-03,0.005,0.014,0.000,0.004,0.004,0.002
2017-02-04,0.005,0.014,0.000,0.004,0.004,0.002
2017-02-05,0.005,0.014,0.000,0.004,0.004,0.002
2017-02-06,0.006,0.014,0.002,0.004,0.004,0.002
2017-02-07,0.134,1.540,0.002,0.004,0.004,0.002
2017-02-08,0.009,0.037,0.002,0.004,0.004,0.002
2017-02-09,0.006,0.013,0.002,0.004,0.004,0.002
2017-02-10,0.007,0.015,0.002,0.004,0.004,0.002
2017-02-11,0.007,0.015,0.002,0.004,0.005,0.002
2017-02-12,0.006,0.015,0.000,0.004,0.004,0.002
2017-02-13,0.007,0.014,0.003,0.004,0.004,0.003
2017-02-14,0.006,0.013,0.000,0.004,0.004,0.002
2017-02-15,0.007,0.016,0.002,0.004,0.004,0.002
2017-02-16,0.006,0.013,0.002,0.004,0.004,0.002
2017-02-17,0.006,0.013,0.002,0.004,0.004,0.002
2017-02-18,0.005,0.013,0.000,0.004,0.004,0.002
2017-02-19,0.006,0.013,0.002,0.004,0.004,0.002
2017-02-20,0.006,0.012,0.002,0.004,0.004,0.002
2017-02-21,0.006,0.012,0.002,0.004,0.004,0.002
2017-02-22,0.006,0.012,0.002,0.004,0.004,0.002
2017-02-23,0.005,0.012,0.000,0.004,0.004,0.002
2017-02-24,0.006,0.012,0.002,0.004,0.004,0.002
2017-02-25,0.005,0.012,0.000,0.004,0.004,0.002
2017-02-26,0.005,0.012,0.000,0.004,0.004,0.002
2017-02-27,0.006,0.015,0.000,0.004,0.004,0.002
2017-02-28,0.005,0.012,0.000,0.004,0.004,0.002
2017-03-01,0.005,0.012,0.000,0.004,0.004,0.002
2017-03-02,0.005,0.012,0.002,0.004,0.004,0.002
2017-03-03,0.005,0.012,0.002,0.004,0.004,0.002
2017-03-04,0.005,0.012,0.000,0.004,0.004,0.002
2017-03-05,0.005,0.011,0.000,0.004,0.004,0.002
2017-03-06,0.005,0.011,0.002,0.004,0.004,0.002
2017-03-07,0.005,0.011,0.002,0.004,0.004,0.002
2017-03-08,0.005,0.011,0.002,0.004,0.004,0.002
2017-03-09,0.005,0.011,0.000,0.004,0.004,0.002
2017-03-10,0.005,0.011,0.002,0.004,0.004,0.002
2017-03-11,0.005,0.011,0.002,0.004,0.004,0.002
2017-03-12,0.005,0.011,0.002,0.004,0.004,0.002
